ventil;ventyl
svastiku;svastyku
kalanetika;kalanetyka
geopolitika;geopolityka
bereniku;berenyku
dialektiku;dyalektyku
klinikám;klinykám
numismatiky;numismatyky
atikou;atykou
geopolitiky;geopolityky
cykloturistikou;cykloturistykou
paštice;paštyce
poetik;poetyk
biokosmetiky;biokosmetyky
fantastice;fantastyce
problematik;problematyk
akvaristiky;akvaristyky
telematiku;telematyku
geotechnika;geotechnyka
angioplastika;angioplastyka
berenikou;berenykou
berenice;berenyce
autokosmetiky;autokosmetyky
prognostiky;prognostyky
kriminalistiku;kriminalistyku
radiodiagnostiky;radyodyagnostyky
kazuistik;kazuistyk
akustik;akustyk
polytechniku;polytechnyku
bohemistika;bohemistyka
psychotroniky;psychotronyky
kanoistikou;kanoistykou
geoniky;geonyky
ekopolitiku;ekopolityku
videotechniky;videotechnyky
sémantika;sémantyka
sémiotiky;sémiotyky
scéniku;scényku
arnikou;arnykou
arniku;arnyku
radiotechniky;radyotechnyky
akvaristice;akvaristyce
agroturistikou;agroturistykou
diakritiku;dyakrityku
stylistiku;stylistyku
ekliptiky;ekliptyky
ekvilibristiky;ekvilibristyky
didaktice;dydaktyce
melodice;melodyce
optik;optyk
svastikou;svastykou
balistiku;balistyku
enkaustiky;enkaustyky
batik;batyk
kulturistikou;kulturistykou
fototechniky;fototechnyky
baltiky;baltyky
eugenika;eugenyka
akvaristika;akvaristyka
komparatistiky;komparatystyky
aritmetiku;aritmetyku
slavistiku;slavistyku
esejistiky;esejistyky
praktice;praktyce
dialektice;dyalektyce
hermeneutika;hermeneutyka
atiku;atyku
angioplastiku;angioplastyku
matice;matyce
biokosmetika;biokosmetyka
numizmatiky;numizmatyky
politikám;politykám
sémantiku;sémantyku
fonetiky;fonetyky
syntetika;syntetyka
geopolitiku;geopolityku
eugeniky;eugenyky
tektoniky;tektonyky
štikami;štykami
atik;atyk
monicou;monycou
fyziokliniky;fyzioklinyky
stylistika;stylistyka
robotikou;robotykou
romanistiky;romanystyky
štikám;štykám
telefónika;telefónyka
balistika;balistyka
paštikami;paštykami
agrotechnikou;agrotechnykou
aritmetice;aritmetyce
biomechaniku;biomechanyku
nikami;nykami
kinematiky;kinematyky
scholastika;scholastyka
systematika;systematyka
kinetiky;kinetyky
atice;atyce
kinematika;kinematyka
prognostika;prognostyka
makrobiotika;makrobiotyka
psychosomatiku;psychosomatyku
biokosmetiku;biokosmetyku
reálpolitiky;reálpolityky
scholastiky;scholastyky
euridice;euridyce
pranostikami;pranostykami
religionistika;religionystyka
paštikách;paštykách
pyrotechnik;pyrotechnyk
arnice;arnyce
poliklinikami;poliklinykami
novogotiky;novogotyky
intralogistiky;intralogistyky
optikách;optykách
ekvilibristikou;ekvilibristykou
epigenetika;epigenetyka
fototechniku;fototechnyku
audiotechniky;audyotechnyky
tunikou;tunykou
psychosomatice;psychosomatyce
angioplastiky;angioplastyky
autokosmetiku;autokosmetyku
kybernetice;kybernetyce
peristaltiky;peristaltyky
zootechniky;zootechnyky
protetiky;protetyky
bioetiky;bioetyky
analytice;analytyce
protetika;protetyka
folkloristiky;folkloristyky
metodikami;metodykami
biomechanika;biomechanyka
scenáristice;scenáristyce
dramatikou;dramatykou
eurydice;eurydyce
diakritika;dyakrityka
kalanetiku;kalanetyku
tektonika;tektonyka
unice;unyce
avioniky;avionyky
zootechnika;zootechnyka
metodikách;metodykách
kronikám;kronykám
kinematikou;kinematykou
monicu;monyku
geotechniky;geotechnyky
systematiky;systematyky
amerikanistiky;amerikanystyky
fototechnika;fototechnyka
astronautiky;astronautyky
fantastiku;fantastyku
kalanetiky;kalanetyky
hermeneutiky;hermeneutyky
dogmatiky;dogmatyky
sémiotika;sémiotyka
romistiky;romistyky
fotoniky;fotonyky
termomechaniky;termomechanyky
akvaristiku;akvaristyku
folkloristiku;folkloristyku
novogotika;novogotyka
pranostikám;pranostykám
videotechniku;videotechnyku
weronika;weronyka
audiotechniku;audyotechnyku
sémantice;sémantyce
matikou;matykou
farmaceutik;farmaceutyk
dialektikou;dyalektykou
telematice;telematyce
automatik;automatyk
haniky;hanyky
esejistice;esejistyce
syntetiky;syntetyky
dokumentaristiku;dokumentaristyku
lingvistikou;lingvistykou
biostatistiky;biostatystyky
paštikám;paštykám
teraristiky;teraristyky
pranostice;pranostyce
ekoturistika;ekoturistyka
stylistice;stylistyce
pranostikou;pranostykou
tunik;tunyk
reálpolitika;reálpolityka
esejistika;esejistyka
peristaltika;peristaltyka
fotožurnalistiky;fotožurnalistyky
ornamentikou;ornamentykou
avionikou;avionykou
taktikám;taktykám
videotechnikou;videotechnykou
geopolitice;geopolityce
mechanikami;mechanykami
protetiku;protetyku
tunikách;tunykách
floristiku;floristyku
dokumentaristice;dokumentaristyce
urbanistiku;urbanystyku
avioniku;avionyku
batice;batyce
ornamentiky;ornamentyky
videotechnika;videotechnyka
energetikách;energetykách
systematiku;systematyku
autoerotika;autoerotyka
baltiku;baltyku
fototechnikou;fototechnykou
zdravotechniky;zdravotechnyky
baltice;baltyce
štikovi;štykovi
kinetika;kinetyka
harmonikami;harmonykami
radiodiagnostika;radyodyagnostyka
romanistiku;romanystyku
haniku;hanyku
mikroelektronice;mikroelektronyce
eurydiky;eurydyky
personalistikou;personalistykou
ekoturistiky;ekoturistyky
arktika;arktyka
angioplastikou;angioplastykou
urbanistika;urbanystyka
avionika;avionyka
rusistiky;rusistyky
autoelektronika;autoelektronyka
botanikou;botanykou
numizmatika;numizmatyka
esejistiku;esejistyku
taktikami;taktykami
orientalistiku;orientalistyku
numismatiku;numismatyku
anniku;annyku
bohemistice;bohemistyce
farmaceutika;farmaceutyka
kazuistice;kazuistyce
tektoniku;tektonyku
ekoturistiku;ekoturistyku
sémantikou;sémantykou
aritmetikou;aritmetykou
orientalistiky;orientalistyky
kosmonautikou;kosmonautykou
analytikou;analytykou
enkaustiku;enkaustyku
eurydiku;eurydyku
diagnostik;dyagnostyk
bioinformatika;bioinformatyka
audiotechnika;audyotechnyka
kinematiku;kinematyku
makrobiotiky;makrobiotyky
unika;unyka
biotronika;biotronyka
mikroelektroniku;mikroelektronyku
germanistika;germanystyka
fonetiku;fonetyku
anglistika;anglistyka
komparatistiku;komparatystyku
panik;panyk
pijatyky;pijatyky
dianetika;dyanetyka
rusistiku;rusistyku
psychotronika;psychotronyka
dokumentaristika;dokumentaristyka
geoinformatika;geoinformatyka
euridika;euridyka
telematikou;telematykou
dietetiky;dyetetyky
artistiky;artystyky
dominiko;dominyko
polonistiky;polonystyky
heuristiky;heuristyky
pijatiky;pijatyky
biotroniky;biotronyky
annice;annyce
heraldikou;heraldykou
didaktikou;dydaktykou
ornamentika;ornamentyka
hektice;hektyce
statik;statyk
fonetika;fonetyka
stylistikou;stylistykou
farmakokinetika;farmakokinetyka
psychosomatikou;psychosomatykou
ekvilibristice;ekvilibristyce
ekliptika;ekliptyka
autoerotiku;autoerotyku
bioetiku;bioetyku
taktikách;taktykách
irisdiagnostika;irisdyagnostyka
grantika;grantyka
arboristika;arboristyka
hektiku;hektyku
audiotechnikou;audyotechnykou
fantastikou;fantastykou
kinetiku;kinetyku
arabistiku;arabistyku
chromatika;chromatyka
judaistiky;judaistyky
epigenetiky;epigenetyky
klaunika;klaunyka
numismatice;numismatyce
sémiotice;sémiotyce
astronautiku;astronautyku
hektiky;hektyky
kazuistiku;kazuistyku
kazuistikách;kazuistykách
niko;nyko
heuristika;heuristyka
radioelektroniky;radyoelektronyky
teraristika;teraristyka
systematice;systematyce
angioplastice;angioplastyce
mnemotechniky;mnemotechnyky
amerikanistiku;amerikanystyku
attika;attyka
autoerotice;autoerotyce
bioinformatiky;bioinformatyky
radiodiagnostiku;radyodyagnostyku
artistika;artystyka
analytik;analytyk
abdominoplastika;abdominoplastyka
attiky;attyky
makrobiotiku;makrobiotyku
angioplastik;angioplastyk
pijatiku;pijatyku
pijatice;pijatyce
attice;attyce
symptomatika;symptomatyka
vizážistika;vizážistyka
pragmatika;pragmatyka
sémiotiku;sémiotyku
bioenergetiky;bioenergetyky
attica;attyca
videokroniky;videokronyky
autokosmetika;autokosmetyka
syntetiku;syntetyku
hipoturistiky;hipoturistyky
makrobiotice;makrobiotyce
anniky;annyky
kybernetikou;kybernetykou
biotronikou;biotronykou
aniko;anyko
energetikami;energetykami
pragmatiky;pragmatyky
psychodiagnostika;psychodyagnostyka
termotechnika;termotechnyka
dermokosmetiky;dermokosmetyky
farmakokinetiky;farmakokinetyky
gestiku;gestyku
problematikám;problematykám
romistiku;romistyku
gestika;gestyka
cyklistiky;cyklistyky
atletice;atletyce
panice;panyce
plastik;plastyk
elektronika;elektronyka
klinika;klinyka
energetice;energetyce
kosmetiky;kosmetyky
kosmetiku;kosmetyku
atletiky;atletyky
turistiku;turistyku
statistiku;statystyku
panika;panyka
plastika;plastyka
charakteristika;charakteristyka
cyklistice;cyklistyce
veroniky;veronyky
matematiku;matematyku
energetiku;energetyku
kliniku;klinyku
praktik;praktyk
charakteristiky;charakteristyky
metodiky;metodyky
moniky;monyky
statistikách;statystykách
logistiky;logistyky
kosmetika;kosmetyka
taktikou;taktykou
taktiky;taktyky
elektronikou;elektronykou
paniku;panyku
tématikou;tématykou
atletiku;atletyku
romantika;romantyka
plastiku;plastyku
poliklinikou;poliklinykou
pyrotechniky;pyrotechnyky
statistice;statystyce
diagnostika;dyagnostyka
diagnostiku;dyagnostyku
matematice;matematyce
pneumatikami;pneumatykami
kroniku;kronyku
etiky;etyky
kronice;kronyce
metodika;metodyka
taktice;taktyce
štika;štyka
poliklinice;poliklinyce
arnika;arnyka
žurnalistiky;žurnalistyky
veronikou;veronykou
pneumatikách;pneumatykách
pneumatika;pneumatyka
metodiku;metodyku
optikou;optykou
gymnastika;gymnastyka
diagnostiky;dyagnostyky
poliklinika;poliklinyka
monikou;monykou
mechaniky;mechanyky
charakteristiku;charakteristyku
genetiky;genetyky
harmoniku;harmonyku
praktikám;praktykám
cyklistiku;cyklistyku
gymnastice;gymnastyce
turistice;turistyce
technikami;technykami
gotiky;gotyky
gymnastiky;gymnastyky
elektrotechniky;elektrotechnyky
romantiky;romantyky
logistiku;logistyku
logistika;logistyka
veroniku;veronyku
diagnostice;dyagnostyce
nice;nyce
kronik;kronyk
pneumatiku;pneumatyku
štiky;štyky
etika;etyka
moniku;monyku
veronice;veronyce
statiku;statyku
romantiku;romantyku
monice;monyce
mechanika;mechanyka
pyrotechniku;pyrotechnyku
charakteristik;charakteristyk
vzduchotechniky;vzduchotechnyky
klinik;klinyk
pyrotechnika;pyrotechnyka
kosmetice;kosmetyce
etiku;etyku
gymnastiku;gymnastyku
publicistiky;publicistyky
praktikami;praktykami
erotika;erotyka
praktikách;praktykách
genetika;genetyka
politik;polityk
paniky;panyky
estetiku;estetyku
estetiky;estetyky
poetiku;poetyku
charakteristikou;charakteristykou
optiky;optyky
monica;monyca
polikliniku;poliklinyku
kanoistika;kanoistyka
žurnalistiku;žurnalistyku
optika;optyka
poetika;poetyka
informatiku;informatyku
statika;statyka
antiky;antyky
kosmetikou;kosmetykou
elektronice;elektronyce
poetiky;poetyky
logistice;logistyce
erotiky;erotyky
tematiku;tematyku
veronica;veronyca
statiky;statyky
paštiky;paštyky
estetika;estetyka
kulturistice;kulturistyce
exotika;exotyka
paštika;paštyka
etice;etyce
informatika;informatyka
akustika;akustyka
kanoistice;kanoistyce
harmonika;harmonyka
cykloturistiky;cykloturistyky
pyrotechnikou;pyrotechnykou
mechaniku;mechanyku
telefóniky;telefónyky
statistikám;statystykám
harmoniky;harmonyky
robotiky;robotyky
kronikách;kronykách
turistikou;turistykou
vzduchotechnika;vzduchotechnyka
atletikou;atletykou
elektrotechnika;elektrotechnyka
tematika;tematyka
berenika;berenyka
gotika;gotyka
akustiku;akustyku
klinikách;klinykách
pranostiky;pranostyky
matematikou;matematykou
kriminalistiky;kriminalistyky
poetikou;poetykou
arniky;arnyky
plastice;plastyce
harmonikou;harmonykou
publicistika;publicistyka
fantastika;fantastyka
optiku;optyku
exotiky;exotyky
tematice;tematyce
kosmonautiky;kosmonautyky
statistikou;statystykou
metodice;metodyce
štiku;štyku
statistikami;statystykami
nika;nyka
cykloturistiku;cykloturistyku
charakteristice;charakteristyce
žurnalistika;žurnalistyka
vzduchotechniku;vzduchotechnyku
botaniky;botanyky
technikách;technykách
pranostika;pranostyka
technikám;technykám
dramatiky;dramatyky
kanoistiky;kanoistyky
gramatiky;gramatyky
etikou;etykou
plastikami;plastykami
metodikou;metodykou
gramatiku;gramatyku
cykloturistika;cykloturistyka
energetikou;energetykou
kronikou;kronykou
paštiku;paštyku
automatika;automatyka
exotiku;exotyku
pranostik;pranostyk
kybernetiky;kybernetyky
exotikou;exotykou
cyklistikou;cyklistykou
erotiku;erotyku
romantikou;romantykou
hanika;hanyka
elektrotechniku;elektrotechnyku
klinikou;klinykou
plastikou;plastykou
antice;antyce
kritik;krityk
diagnostikou;dyagnostykou
optice;optyce
estetice;estetyce
dominiky;dominyky
pneumatikou;pneumatykou
kulturistika;kulturistyka
mystiky;mystyky
praktika;praktyka
niky;nyky
kulturistiky;kulturistyky
akustikou;akustykou
tematiky;tematyky
poetice;poetyce
pneumatice;pneumatyce
charakteristikami;charakteristykami
estetikou;estetykou
erotikou;erotykou
štikou;štykou
žurnalistice;žurnalistyce
annika;annyka
personalistiky;personalistyky
genetiku;genetyku
publicistiku;publicistyku
antik;antyk
metodik;metodyk
gramatika;gramatyka
mystika;mystyka
mechanikou;mechanykou
baltika;baltyka
kosmonautiku;kosmonautyku
publicistice;publicistyce
statice;statyce
elektroenergetiky;elektroenergetyky
romantice;romantyce
elektrotechnice;elektrotechnyce
bohemistiky;bohemistyky
akustiky;akustyky
genetice;genetyce
lingvistiky;lingvistyky
štik;štyk
batika;batyka
personalistiku;personalistyku
dominiku;dominyku
dominikou;dominykou
erotice;erotyce
mechanice;mechanyce
paštik;paštyk
tunika;tunyka
informatice;informatyce
dominice;dominyce
gymnastikou;gymnastykou
panikou;panykou
statikou;statykou
robotika;robotyka
matika;matyka
telematika;telematyka
logistikou;logistykou
pneumatikám;pneumatykám
agroturistiku;agroturistyku
agroturistiky;agroturistyky
tématiku;tématyku
scenáristiku;scenáristyku
kosmonautika;kosmonautyka
energetik;energetyk
personalistika;personalistyka
agroturistika;agroturistyka
praktiku;praktyku
matiky;matyky
fantastiky;fantastyky
antika;antyka
heraldiku;heraldyku
akustice;akustyce
mystiku;mystyku
aviatiky;aviatyky
matiku;matyku
robotiku;robotyku
tuniky;tunyky
kanoistiku;kanoistyku
antiku;antyku
kosmonautice;kosmonautyce
paštikou;paštykou
plastikách;plastykách
poliklinik;poliklinyk
harmonice;harmonyce
niku;nyku
charakteristikám;charakteristykám
botanika;botanyka
batiky;batyky
analytiky;analytyky
mystikou;mystykou
charakteristikách;charakteristykách
didaktiky;dydaktyky
vzduchotechnikou;vzduchotechnykou
tuniku;tunyku
gotice;gotyce
slavistiky;slavistyky
gotiku;gotyku
gramatice;gramatyce
germanistiky;germanystyky
tématice;tématyce
tématika;tématyka
harmonik;harmonyk
polytechniky;polytechnyky
genetikou;genetykou
kybernetika;kybernetyka
mystice;mystyce
automatiku;automatyku
bohemistiku;bohemistyku
automatiky;automatyky
atiky;atyky
sebekritiky;sebekrityky
elektroenergetice;elektroenergetyce
telematiky;telematyky
cykloturistice;cykloturistyce
automatikou;automatykou
scenáristiky;scenáristyky
numismatika;numismatyka
dialektika;dyalektyka
exotice;exotyce
personalistice;personalistyce
kulturistiku;kulturistyku
aritmetika;aritmetyka
melodikou;melodykou
lingvistika;lingvistyka
plastikám;plastykám
anglistiky;anglistyky
dramatiku;dramatyku
kybernetiku;kybernetyku
pyrotechnice;pyrotechnyce
agrotechniky;agrotechnyky
gramatikou;gramatykou
peristaltiku;peristaltyku
botaniku;botanyku
robotice;robotyce
botanice;botanyce
religionistiky;religionystyky
sebekritika;sebekrityka
taktik;taktyk
kazuistika;kazuistyka
sebekritiku;sebekrityku
heraldika;heraldyka
kriminalistika;kriminalistyka
diakritiky;dyakrityky
kazuistiky;kazuistyky
floristice;floristyce
kriminalistice;kriminalistyce
mechanik;mechanyk
germanistiku;germanystyku
psychosomatika;psychosomatyka
analytiku;analytyku
biomechaniky;biomechanyky
melodiky;melodyky
agroturistice;agroturistyce
praktikou;praktykou
melodika;melodyka
dramatika;dramatyka
polytechnice;polytechnyce
heraldiky;heraldyky
kronikami;kronykami
atika;atyka
klinikami;klinykami
telefóniku;telefónyku
melodiku;melodyku
dialektiky;dyalektyky
lingvistiku;lingvistyku
batiku;batyku
klauniky;klaunyky
telefónice;telefónyce
antikou;antykou
dokumentaristiky;dokumentaristyky
tanganika;tanganyka
bereniky;berenyky
balistiky;balistyky
gotikou;gotykou
didaktika;dydaktyka
lingvistice;lingvistyce
anglistiku;anglistyku
heraldice;heraldyce
pranostikách;pranostykách
agrotechnika;agrotechnyka
tématiky;tématyky
telefónikou;telefónykou
batikou;batykou
žurnalistikou;žurnalistykou
nikou;nykou
moniko;monyko
baromantika;baromantyka
vzduchotechnice;vzduchotechnyce
publicistikou;publicistykou
svastika;svastyka
kritikám;kritykám
anika;anyka
enkaustika;enkaustyka
polytechnika;polytechnyka
analytika;analytyka
elektroenergetika;elektroenergetyka
aritmetiky;aritmetyky
tréninku;trénynku
trénink;trénynk
tréninky;trénynky
mítinku;mítynku
tréninků;trénynků
tréninkem;trénynkem
mítink;mítynk
trénincích;trényncích
mítinky;mítynky
mítinků;mítynků
mítincích;mítyncích
pudink;pudynk
tréninkům;trénynkům
perninku;pernynku
pernink;pernynk
pudinku;pudynku
hiddink;hiddynk
mítinkem;mítynkem
puding;pudyng
pudinkem;pudynkem
pudinky;pudynky
hiddinka;hiddynka
jachtink;jachtynk
pudinků;pudynků
perninkem;pernynkem
mítinkům;mítynkům
pudingu;pudyngu
jachtinku;jachtynku
akvaplaninku;akvaplanynku
tréninkách;trénynkách
hiddinkovi;hiddynkovi
hiddinkem;hiddynkem
tréning;trényng
pudingy;pudyngy
akvaplanink;akvaplanynk
fitinků;fitynků
pudingem;pudyngem
tréningu;trényngu
antibiotika;antybiotyka
antibiotik;antybiotyk
antibiotiky;antybiotyky
etnika;etnyka
periodik;periodyk
periodika;periodyka
etnik;etnyk
probiotika;probiotyka
panoptikum;panoptykum
narkotik;narkotyk
antibiotikum;antybiotykum
analgetika;analgetyka
periodikum;periodykum
antibiotikům;antybiotykům
etnikum;etnykum
narkotiky;narkotyky
periodiku;periodyku
tonikum;tonykum
unikum;unykum
narkotika;narkotyka
probiotik;probiotyk
analgetik;analgetyk
periodikách;periodykách
antihistaminika;antyhistaminyka
anestetika;anestetyka
etniku;etnyku
cytostatik;cytostatyk
anestetikum;anestetykum
cytostatika;cytostatyka
etniky;etnyky
antivirotika;antyvirotyka
diuretika;dyuretyka
etnikem;etnykem
panoptika;panoptyka
hypnotika;hypnotyka
anestetik;anestetyk
analgetikum;analgetykum
antibiotikách;antybiotykách
antivirotik;antyvirotyk
antirevmatika;antyrevmatyka
homeopatik;homeopatyk
prebiotika;prebiotyka
panoptiku;panoptyku
probiotiky;probiotyky
analgetiky;analgetyky
antipsychotika;antypsychotyka
antihistaminik;antyhistaminyk
diuretikum;dyuretykum
periodikem;periodykem
cytostatiky;cytostatyky
antibiotikem;antybiotykem
periodiky;periodyky
hypnotik;hypnotyk
homeopatikum;homeopatykum
tonika;tonyka
antimykotika;antymykotyka
antipyretika;antypyretyka
homeopatika;homeopatyka
diuretik;dyuretyk
antiseptikum;antyseptykum
etnikům;etnykům
antidiabetika;antydyabetyka
antidiabetik;antydyabetyk
praktikum;praktykum
antipsychotik;antypsychotyk
antiepileptika;antyepileptyka
chemoterapeutika;chemoterapeutyka
panoptikem;panoptykem
anestetikem;anestetykem
antirevmatik;antyrevmatyk
anxiolytika;anxiolytyka
antivirotikum;antyvirotykum
antihistaminikum;antyhistaminykum
narkotikum;narkotykum
antibiotiku;antybiotyku
prebiotik;prebiotyk
hypnotikum;hypnotykum
antimykotik;antymykotyk
antivirotiky;antyvirotyky
unik;unyk
periodicích;periodycích
antiflogistika;antyflogistyka
probiotikum;probiotykum
chemoterapeutik;chemoterapeutyk
antidiabetiky;antydyabetyky
antihistaminiky;antyhistaminyky
neuroleptika;neuroleptyka
anestetiky;anestetyky
cytostatikum;cytostatykum
diuretiky;dyuretyky
hypnotiky;hypnotyky
virostatika;virostatyka
antiparazitika;antyparazityka
narkotikům;narkotykům
uniku;unyku
antiseptika;antyseptyka
antiepileptik;antyepileptyk
krystalinika;krystalinyka
antimykotiky;antymykotyky
prebiotiky;prebiotyky
gemmoterapeutikum;gemmoterapeutykum
prebiotikum;prebiotykum
antirevmatikum;antyrevmatykum
antirevmatiky;antyrevmatyky
virostatik;virostatyk
anxiolytik;anxiolytyk
exotika;exotyka
antipyretik;antypyretyk
antiflogistik;antyflogistyk
antipsychotiky;antypsychotyky
antiparazitik;antyparazityk
komunisté;komunysté
komunistů;komunystů
komunisty;komunysty
tenista;tenysta
tenisté;tenysté
tenistů;tenystů
komunistům;komunystům
komunista;komunysta
tenisty;tenysty
protagonisté;protagonysté
komunisti;komunysty
judisté;judysté
pianista;pianysta
protagonistů;protagonystů
protagonisty;protagonysty
parašutistů;parašutystů
unionisté;unyonysté
saxofonista;saxofonysta
triatlonista;triatlonysta
trumpetista;trumpetysta
judistů;judystů
judista;judysta
karatisté;karatysté
biatlonisté;biatlonysté
separatistů;separatystů
unionistů;unyonystů
separatisté;separatysté
parašutisté;parašutysté
protagonista;protagonysta
biatlonista;biatlonysta
tenistu;tenystu
biatlonistů;biatlonystů
tenistům;tenystům
snowboardisté;snowboardysté
tenistou;tenystou
separatisty;separatysty
badmintonisté;badmintonysté
triatlonisté;triatlonysté
pianisty;pianysty
snowboardisty;snowboardysty
barytonista;barytonysta
protagonistou;protagonystou
parašutisty;parašutysty
komunistou;komunystou
snowboardista;snowboardysta
parašutista;parašutysta
internista;internysta
snowboardistů;snowboardystů
karatistů;karatystů
klarinetista;klarinetysta
libretistu;libretystu
postmodernistů;postmodernystů
exhibicionistou;exhibicionystou
autentisté;autentysté
stipendistou;stypendystou
karatistou;karatystou
afrikanista;afrikanysta
hispanista;hispanysta
urbanistu;urbanystu
basbarytonisty;basbarytonysty
germanisté;germanysté
postmodernisty;postmodernysty
skeletonistů;skeletonystů
batistovi;batystovi
chartisti;chartysty
unionistu;unyonystu
preventistou;preventystou
džihádistu;džihádystu
ženistům;ženystům
artistou;artystou
urbanistům;urbanystům
baptistu;baptystu
spiritista;spiritysta
revizionistů;revizionystů
mopedisté;mopedysté
internistovi;internystovi
internistům;internystům
fleretistů;fleretystů
interbrigadista;interbrigadysta
libretisté;libretysté
perfekcionistu;perfekcionystu
paraglidistovi;paraglidystovi
velocipedisty;velocipedysty
barytonistů;barytonystů
judisti;judysty
tenorsaxofonisty;tenorsaxofonysty
feministé;feminysté
batistou;batystou
gardistům;gardystům
autentistů;autentystů
sadisti;sadysty
trombonistu;trombonystu
perfekcionistou;perfekcionystou
biatlonisti;biatlonysty
religionisté;religionysté
separatistu;separatystu
harfenista;harfenysta
moonisté;moonysté
kordisty;kordysty
feministy;feminysty
karavanistů;karavanystů
dentistovi;dentystovi
hornistu;hornystu
metodistů;metodystů
barytonisté;barytonysté
perkusionistou;perkusionystou
interbrigadisté;interbrigadysté
komanditistů;komandytystů
kombajnista;kombajnysta
preventistu;preventystu
artistům;artystům
okultistů;okultystů
externistou;externystou
varhanista;varhanysta
unionistou;unyonystou
exhibicionisti;exhibicionysty
postkomunista;postkomunysta
komparatista;komparatysta
autistovi;autystovi
ortodontistů;ortodontystů
slovanisty;slovanysty
antikomunistům;antykomunystům
onanistu;onanystu
taekwondisty;taekwondysty
hornistou;hornystou
wikipedisté;wikipedysté
kolonista;kolonysta
fagotisty;fagotysty
komunistama;komunystama
pianistům;pianystům
impresionistům;impresionystům
hygienista;hygienysta
hygienisty;hygienysty
stalinistou;stalinystou
komponistu;komponystu
pozounistou;pozounystou
statistou;statystou
interbrigadisty;interbrigadysty
religionistů;religionystů
perkusionistu;perkusionystu
triatlonistů;triatlonystů
unionisty;unyonysty
komunistu;komunystu
judisty;judysty
flétnista;flétnysta
exhibicionista;exhibicionysta
džihádisté;džihádysté
iluzionista;iluzionysta
adventistů;adventystů
badmintonista;badmintonysta
perfekcionista;perfekcionysta
saxofonisty;saxofonysty
džihádistů;džihádystů
artisté;artysté
trumpetisty;trumpetysty
preventista;preventysta
biatlonisty;biatlonysty
tenistovi;tenystovi
pianistou;pianystou
komunistech;komunystech
separatistům;separatystům
artistů;artystů
humanista;humanysta
karatista;karatysta
skateboardisté;skateboardysté
urbanista;urbanysta
kolonisté;kolonysté
autista;autysta
autisty;autysty
badmintonistů;badmintonystů
triatlonisty;triatlonysty
pianistu;pianystu
džihádisty;džihádysty
urbanisté;urbanysté
protagonistům;protagonystům
artisty;artysty
ženisté;ženysté
sadista;sadysta
externistů;externystů
parašutistům;parašutystům
kolonistů;kolonystů
paraglidista;paraglidysta
velocipedistů;velocipedystů
gardisté;gardysté
impresionistů;impresionystů
statistů;statystů
artista;artysta
externisty;externysty
postkomunisté;postkomunysté
libretista;libretysta
saxofonistou;saxofonystou
chartista;chartysta
preventisté;preventysté
karatisty;karatysty
batista;batysta
antikomunista;antykomunysta
akordeonista;akordeonysta
trumpetistou;trumpetystou
unionista;unyonysta
skateboardisty;skateboardysty
autistů;autystů
externisté;externysté
autisté;autysté
externista;externysta
